time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.00048362900378656759	0.0010810477416277608	0.0004451921894549557	5.062940449444838	0.99557930605502465	0.0087471940852678481	0.039137429108720499	0.005195618914952238	0.0018159446765371823	7.0
1.0	-0.0063119630629251966	-0.00057256818859799385	-0.0015708638739004299	5.0921694494747101	0.99831453862132957	0.00878214486271503	0.024180755735993095	0.0082468859409205869	-0.0039234501977900163	6.0
2.0	0.0023050548131195586	-0.0015971105319185774	0.0040989404199994542	5.0989263461172811	0.99999510607391928	0.0049318424494123742	0.020446383402729501	0.005196231694688358	-2.1284852751881148e-05	6.0
3.0	0.0011354953389864225	-0.00046323243395815505	0.0025627269385218587	5.0965685972850432	0.99831453862132957	0.0046738085143233216	0.025092998480873475	0.0043057910795209209	0.0015774429201927047	6.0
4.0	-0.0049023539878128713	-0.0014967634672540669	-0.0013238782285208417	5.1575699949874174	0.99831453862132957	0.0061600935558945857	0.023163755691382529	0.0071089605169198933	-0.0018281476003661036	5.0
5.0	0.0007149387146276609	-0.0017872876268367338	0.0015868695661566262	5.1444409760450647	1.0016785742323322	0.0007564845039600282	0.0042102692971609165	0.00027930648647035705	0.00067407874109828598	6.0
6.0	0.0017789704412094903	0.0021774670325824252	0.0074008620288174565	5.1829763778070799	0.99557930605502465	-0.0010001279142292097	0.020875644143382319	0.0033184679462146954	0.00027558214972535279	6.0
7.0	-0.0020196422126488034	-0.0017549551142786723	-0.01890329817299722	5.224010828650588	0.99557930605502465	-0.0044134025886340134	-0.0057034491324681399	-0.0048169525273989433	1.0895051355226883e-05	5.0
8.0	-0.0064293552019134975	-0.0059751864988824427	-0.0043735262092261667	5.2490214522300898	1.0016785742323322	-0.011469636829144217	-0.010522167531149262	-0.0038698958721821441	-0.00044327365167582853	4.0
9.0	0.00039767887470375241	-0.0011449582877040843	0.026400422093732175	5.2892947005577282	1.0044324750173943	-0.012042026928250307	0.017449118436483342	-0.0094000053083150847	0.0010993635107319993	5.0
10.0	0.0032546545693339507	0.0012997561866739532	-0.0069073745150421764	5.3477523600287888	0.99999510607391928	-0.0091451602096577767	0.0064428035014417115	-0.013854249453941189	0.0030542618933919953	5.0
11.0	-0.0067167913099858562	-0.0012124282258554192	-0.0053082447991903217	5.4444305706772802	0.99999510607391928	-0.0098943560015550408	-0.001428168236270469	-0.012722496538148942	-0.0024501011907384386	4.0
12.0	-0.0011671059986853444	-0.006227781391614437	-0.014239807285624989	5.5004533443572381	0.99831453862132957	-0.014625373925915411	-0.014344097293374616	-0.019732841841039489	0.0026105742021906597	4.0
13.0	-0.0053716965061450656	-0.0033415666935648694	0.0042976103784486824	5.5586450623119381	0.99557930605502465	-0.016179652992643546	-0.01163335648108256	-0.017626954186359636	0.00058044438961046092	4.0
14.0	-0.0050296311767006746	-0.0055792986836765909	-0.017970442283060713	5.6356258299503006	0.99557930605502465	-0.023936418708902563	-0.037004660792960734	-0.02615568186541755	0.0011301118965863755	3.0
15.0	-0.014171435577560877	-0.010155726858209042	-0.0079844592788011343	5.6782683696297322	0.99999510607391928	-0.032337190452832933	-0.026085821898764645	-0.034534387396766508	-0.0028855968227654541	3.0
16.0	-0.0010497340675218111	-0.0042784153423768151	0.022806621006393007	5.7922388775341931	0.99831453862132957	-0.030640419296327305	0.0010943253168545289	-0.035073624530610956	0.00034308445208954956	3.0
17.0	-0.00080829536610483449	-0.0042341418655716043	-0.010021405979656912	5.912866673850564	1.0044324750173943	-0.033729602874194825	-0.035327502756534554	-0.038618837108320286	0.0037689309515563192	2.0
18.0	-0.014018581720643082	-0.0075082505543106713	-0.012529694225195138	6.0116826472889331	1.0016785742323322	-0.042537609615179453	-0.040949822466687519	-0.034835884157667779	-0.0027414002147760925	2.0
19.0	-0.0079495845552236578	-0.0056699436497593715	0.0035702878894154112	6.1159927625314152	0.99557930605502465	-0.046995125039083402	-0.032071289778081782	-0.045668459373586032	-0.0050210411202403805	3.0
20.0	-0.001316699419263382	-0.0019116805639219012	-0.0084811513364175528	6.2373284235241311	0.99557930605502465	-0.042679024211390866	-0.02631263382887435	-0.036545444145569247	-0.0044260599755818622	2.0
21.0	-0.00038944817907872117	-0.0054910050100078975	-0.016046449874365133	6.3007170919090143	0.99557930605502465	-0.044828462527833894	-0.046656694081688162	-0.041583313241949943	0.00067549685534731515	2.0
22.0	0.0014004916399634783	-0.003978947946183975	-0.00081348195074530021	6.3733551738013112	1.0016785742323322	-0.043228111790341278	-0.029499733749372752	-0.042088124000161833	0.006054936441494769	2.0
23.0	-0.0015718487517090256	0.0016302691074745867	0.026001601077647957	6.4751661000734355	1.0044324750173943	-0.031442115824657647	0.0044863266070763394	-0.026633722933548411	0.0028528185823111555	3.0
24.0	0.0064089187509004768	0.0050152971150172927	-0.010700832945059599	6.5631043193568663	0.99831453862132957	-0.022148403367263543	-0.029021127344376264	-0.02456874224923896	0.00424644021819434	4.0
25.0	0.0064799436112348389	0.01047466457425286	-0.0022252580865093092	6.5729183289819382	0.99999510607391928	-0.0074395969274390766	-0.021224979451228664	-0.0018430111876951878	0.00025171925517631727	5.0
26.0	0.01426596075085378	0.010968457717011278	0.010219270351730217	6.6293190096708843	1.0044324750173943	0.011037111343882872	0.0015239851256966912	0.011229456088185569	0.0035492222890188235	5.0
27.0	0.0021499473961168261	0.0063878119595463592	-0.0077023792805569393	6.7086843251334161	1.0044324750173943	0.023094866953188603	-0.0097486820442756594	0.020830994572770125	-0.00068864227441071469	4.0
28.0	0.0039529366325574619	0.0017074963604665483	0.0061095716704225294	6.6914126795105631	1.0016785742323322	0.026714043877577053	0.0048420409625644228	0.025494714335155086	0.0015567979976801988	5.0
29.0	0.0023149455028761284	0.0045504062924088817	0.0053998067923031745	6.7854881049687954	0.99831453862132957	0.036755455179993832	0.026288297629232731	0.045822511087466392	-0.00067866279185255273	4.0
30.0	-0.0019910318859732087	-0.0012751132408728508	-0.0086576098143428381	6.8114578002464148	0.99831453862132957	0.039459289885304956	0.018444169765635191	0.040390114207595092	-0.0013945814369529105	4.0
31.0	-0.00073070537527689799	-0.0024622055975475135	-0.0014038955040206746	6.9015069556993618	1.0016785742323322	0.035366815180282854	-0.0089613268160334391	0.033234817392184424	0.00033691878531770595	3.0
32.0	-0.0066047986150272048	-0.0050590541991082233	-0.0016179071248715177	6.8900017420633421	1.0044324750173943	0.025292463866157341	0.00012159900415464192	0.027958065475867641	-0.0012088256306012745	4.0
33.0	0.0078476715859835192	0.0033169047119887829	0.010923431003435747	6.8882645173628383	0.99999510607391928	0.018134704003893262	0.013270288094099698	0.015226030982826575	0.0033219412433934605	5.0
34.0	0.0045284309577865792	0.0073552740101906558	-0.0078171175163160543	6.8741611200563906	1.0016785742323322	0.01452152029707264	-0.0047660997739465728	0.0044225673831780887	0.000495098190989386	5.0
35.0	0.0045289122109356261	0.0040079604078997952	-0.0007987529488124815	6.8935351194888455	0.99831453862132957	0.012141668745426076	0.002137526557797885	0.012632782347993921	0.0010160499940252124	5.0
36.0	0.00058933932591045957	0.0024625676616770245	-0.0048446384763009935	6.8934755647339765	0.99831453862132957	0.012896740046636553	-0.0088166835889256379	0.013642667293517034	-0.00085717834174134811	5.0
37.0	0.0039197068854100875	-0.00012739343118287755	-0.0032934328716918817	6.8847163663070861	1.0016785742323322	0.0082189403230447933	-0.017509923252920695	0.0015015278738719148	0.0031899219748516118	5.0
38.0	-0.0081923473653453607	-0.0031441069327694457	-0.0052194169356784732	6.9081326935694021	1.0016785742323322	0.0063499466311481984	-0.01407173037425633	0.0035739443897024881	-0.0018583184577243028	4.0
39.0	-0.0012243916809967365	-0.0047589008470243221	0.011852481480153484	6.9245665840221937	1.0016785742323322	0.0040532513816713897	-0.00081535339008217099	0.0072561040400713622	0.0016761907083032834	4.0
40.0	-0.012887665539652864	-0.010320684012365057	-0.023885252356114946	6.9679865288556329	0.99999510607391928	-0.001208378431585444	-0.023082698621325601	-0.00015486384336408504	-0.00089079081898452454	3.0
41.0	-0.013207727187402395	-0.011713491926098364	-0.015179820349952598	6.9757559646220564	0.99557930605502465	-0.016238775069672591	-0.049185949974713941	-0.012420814478457467	-0.0023850260802885516	3.0
42.0	-0.0074422058738410866	-0.0085849064478045294	-0.0014889620504641571	6.9555130026476393	1.0016785742323322	-0.03217895552766778	-0.042857794508862047	-0.026629040581981303	-0.0012423255063251089	3.0
43.0	-0.0048568866158464064	-0.0040565224110375268	0.017442730903328388	6.9916594194966644	0.99557930605502465	-0.040243438346605098	-0.024616310656721176	-0.039852788583958167	-0.0020426897111339888	3.0
44.0	-0.0062857615652914976	-0.0077884561716438303	-0.026840050407228706	7.0651814130451305	0.99557930605502465	-0.050494462179925953	-0.046611722587648889	-0.054612540185770206	-0.00053999510478165648	2.0
45.0	-0.009660558322613165	-0.0093395468181115254	0.0032056289173452573	7.1207763220037448	0.99831453862132957	-0.059706615566854603	-0.040112660798611754	-0.059545190469681479	-0.00086100660928329557	2.0
46.0	-0.017899364439476859	-0.019552905646187307	-0.021505496793934091	7.1495131574836872	0.99831453862132957	-0.076115414280272464	-0.056398740656867369	-0.069278813511994761	0.00079253459742715257	2.0
47.0	-0.0036918566469377814	-0.0043341272354968374	0.0024686657477197629	7.1570262314563964	0.99831453862132957	-0.07569064066874498	-0.065782556389301083	-0.080121061990918604	0.0014348051859862092	3.0
48.0	-0.00027671882035318687	0.0015323557651470802	0.0082089223570984832	7.2349594653395668	1.0044324750173943	-0.063837600891232846	-0.033688381676087661	-0.064019598537580519	-0.00037426939951405611	3.0
49.0	0.0035267714076147039	0.0032182702749853562	0.0054607530933393766	7.2552783050622125	0.99831453862132957	-0.048905838690149125	-0.013047808232795687	-0.047756631627023774	-6.5768266884709954e-05	4.0
50.0	0.0065960229829199399	0.0057963046081671056	-0.0043397053340229128	7.3277792298943156	0.99557930605502465	-0.03452462763417749	-0.015898551516354442	-0.037277961582732735	0.00073395010786812419	4.0
51.0	-0.0006417903831436797	0.0014628004965785684	-0.01505391481757852	7.3989776279605213	0.99999510607391928	-0.02900530472656139	-0.04839519723726135	-0.027187643925961652	-0.0013706407718541236	3.0
52.0	-0.00096161640433402307	-0.0041301283066848462	-0.0012050570185529047	7.4241051986540274	0.99831453862132957	-0.025346976861602408	-0.022760203848585549	-0.026746366254053137	0.0017978711304966987	3.0
53.0	-0.003901017982198083	-0.0042413804428680368	-0.0069499454723789891	7.4678977686443417	0.99557930605502465	-0.020248810486358917	-0.032915778238309795	-0.019247810757388586	0.0021382335911666549	3.0
54.0	-0.0031439361071554615	-0.0015225518550358065	0.0075389631802536966	7.4441710427887209	0.99557930605502465	-0.0022184566952074165	-0.0038713182641220076	-0.0028067885466864471	0.00051684933904699718	4.0
55.0	0.0068343474041472445	0.0012715417725044642	-0.0069971808307442152	7.4791719510929004	0.99999510607391928	0.0033872123127938851	-0.013337164842585986	0.0057764748733273273	0.006079654970689778	3.0
56.0	-0.0084258770000294018	-0.004675459617952904	-0.0029576537837885247	7.5305650676620486	1.0044324750173943	-0.0028206030703060991	-0.024503740983472994	-0.0024042180949530104	0.0023292375886132819	3.0
57.0	-0.0074585426614767851	-0.0048442685994257335	-0.0012809841459027888	7.5412389372917774	0.99999510607391928	-0.010883141944717189	-0.031245478222715159	-0.013645484519278998	-0.00028503647343777359	4.0
58.0	0.002724527382877609	0.0033589918013638247	0.0015378306807156544	7.5357329210097266	1.0016785742323322	-0.01332045475152047	-0.025367942207976592	-0.0065672121955233712	-0.00091950089192398515	4.0
59.0	0.0019467155217069883	0.0016166771286949579	-0.0017541313950349413	7.5468163706427882	0.99999510607391928	-0.01316657811940408	-0.012068158785433013	-0.017247991968634763	-0.00058946249891195647	4.0
60.0	0.0010784467032439807	0.0017627696179889282	0.0041190209716815696	7.538431337627495	0.99557930605502465	-0.0072736801947303059	-0.0067440807951985385	-0.002555829569126148	-0.0012737854136569019	4.0
