time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	0.0016668144181366529	0.0032927303631510307	-0.0041292314648157767	5.0203098306270935	0.99557930605502465	0.015978110636389264	0.046793422923058242	0.01228753191701025	0.0018870181419255029	7.0
1.0	-0.0074260881977574328	-0.0014620616547341078	-0.0053677346580191417	5.0305812912103205	0.99831453862132957	0.011877241738489794	0.0078728520220617514	0.011321033551586403	-0.0040770084010978242	6.0
2.0	0.0014518924597123548	-0.0026029980300801489	-0.0020466030475614801	5.0052403272680888	0.99999510607391928	0.010279729262887838	0.013201692790315397	0.010554466323334608	-2.21179113053174e-05	6.0
3.0	-0.0018361330439594717	-0.0034974327247952186	-0.0052067650240918695	4.9590495095056699	0.99831453862132957	0.0062472783216044811	-0.00095632357057708235	0.0058648572131920415	0.0016391817695304268	6.0
4.0	-0.0086353323732427101	-0.0050964519330530395	0.015521333271712671	5.025503901629814	0.99831453862132957	0.00038001499478859668	0.0085047478262444166	0.0013660192452830608	-0.0018996986706592417	5.0
5.0	0.0012009900499289974	-0.0013991698352009072	0.0087305802166038962	5.0368664835493258	1.0016785742323322	-0.0051369320438123742	0.0031475630814803562	-0.0056327861232703946	0.0007004612144706629	6.0
6.0	0.0029641386338993686	0.0033782318092763428	-0.00640815155801671	5.0609104576415538	0.99557930605502465	-0.0049389864946577863	0.0095147629982791498	-0.0004513669974372872	0.00028636803909368614	6.0
7.0	-0.0027976341324794304	-0.0025225875613963875	-0.017177437595055953	5.0938387245329988	0.99557930605502465	-0.0099097395668324359	-0.016084009859244363	-0.0103290838703574	1.1321468010648509e-05	5.0
8.0	-0.0020010730847172878	-0.0015291288712247081	0.010756439456667079	5.1375124012906372	1.0016785742323322	-0.014731598801208175	-0.0011983389377615075	-0.0068344149029254189	-0.00046062274548193128	4.0
9.0	-0.0013723090035698757	-0.0029753227679665956	0.005025706043643989	5.1468009532242176	1.0044324750173943	-0.016244859914440662	0.0091951017639016232	-0.013499433364506291	0.001142391018914787	5.0
10.0	0.002656466512281512	0.00062505621583203858	0.0035213293044507737	5.2017412139451444	0.99999510607391928	-0.013016805668528475	0.014763034115913877	-0.017910201899549116	0.0031738013153642581	5.0
11.0	-0.0076550079595797335	-0.0019352120133145911	-0.0101982487403776	5.2832803593791837	0.99999510607391928	-0.011454584957047848	0.0097715503996281469	-0.014393414850612817	-0.0025459946309008856	4.0
12.0	-0.0025025376607312466	-0.0077612806170768329	-0.0036097437313978957	5.3558494009944431	0.99831453862132957	-0.014119413641071641	-0.0093595266034824202	-0.019426780511696801	0.0027127483254447068	4.0
13.0	-0.0057871010823753316	-0.00367751490593533	-0.015263520260785743	5.3824693876400067	0.99557930605502465	-0.016397758711806064	-0.033353627080872063	-0.017901705194680529	0.00060316214900470167	4.0
14.0	-0.0061905095795860704	-0.0067616902829918633	0.00077709935626559933	5.476886170624641	0.99557930605502465	-0.02653768080407427	-0.026168376166589749	-0.028843802731773255	0.0011743428524104949	3.0
15.0	-0.011428980830991912	-0.0072561030423605732	0.0036983506647782472	5.560444516804564	0.99999510607391928	-0.031271196285038452	-0.0052925879067555505	-0.033554388360301571	-0.0029985349362208445	3.0
16.0	-0.0046319386570342694	-0.0079869858778364305	-0.018712122547233999	5.6185646161220175	0.99831453862132957	-0.037729053291650175	-0.034761149910656625	-0.042335767808925319	0.00035651228458131675	3.0
17.0	-0.00092901152323621346	-0.0044889407322433721	0.016671515765148914	5.7505360909266656	1.0044324750173943	-0.039242671255926953	-0.023115340189151703	-0.044323263092849619	0.0039164414935884753	2.0
18.0	-0.011988238591760392	-0.005223102417987349	-0.02138626574559014	5.8333194864088709	1.0016785742323322	-0.045090829889746345	-0.048022935239192613	-0.037087669964099554	-0.0028486946801845677	2.0
