time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	0.0018304248148925048	0.0042691525419918594	-0.0041292314648157802	4.9799153525664934	0.99557930605502465	0.021023119708799012	0.046793422923058291	0.015487583459467987	0.0028303575460738332	7.0
1.0	-0.013348267587264491	-0.0044027640142007413	-0.0053677346580195857	5.0124384268651836	0.99831453862132957	0.018145792272039513	0.0078728520220613229	0.0173115300018402	-0.00611514602698992	6.0
2.0	-0.0015101981270287876	-0.0075921692757408982	-0.002046603047561265	5.0226590034165248	0.99999510607391928	0.0069312976760466452	0.013201692790315191	0.0073433785643777921	-3.317487827780952e-05	6.0
3.0	0.0055322253183285736	0.003040425168942873	-0.0052067650240918747	4.9954846679663376	0.99831453862132957	0.012330080643289578	-0.00095632357057730266	0.011756483365168761	0.0024586252711078934	6.0
4.0	-0.012579148026827976	-0.0072711455566856695	0.015521333271712906	5.0872027782369029	0.99831453862132957	0.0081799085583977166	0.008504747826244427	0.0096588262798777101	-0.0028493771990344141	5.0
5.0	0.0017126144922095174	-0.002187391548202168	0.0087305802166039101	5.1251211730431754	1.0016785742323322	-0.0070924247956956898	0.0031475630814805713	-0.0078361613313250936	0.0010506288413772713	6.0
6.0	0.015151344534045305	0.015772447064893245	-0.0064081515580169356	5.1449834610932283	0.99557930605502465	-0.0015448433572985351	0.0095147629982789417	0.0051861823947408625	0.0004295263105293343	6.0
7.0	-0.0076028229452384452	-0.007190277818781822	-0.017177437595055974	5.1864095030315767	0.99557930605502465	-0.0055617234377833211	-0.016084009859244599	-0.0061907021887103592	1.6981184072705946e-05	5.0
8.0	-0.010450491846943671	-0.0097426179604628571	0.010756439456667093	5.2594316054638615	1.0016785742323322	-0.019573493940238038	-0.0011983389377617261	-0.007728428149598815	-0.00069089270240810447	4.0
9.0	-0.00062498140408606684	-0.0030293579194548281	0.0050257060436442111	5.2971298517402907	1.0044324750173943	-0.018200087845492124	0.0091951017639020707	-0.014082194869185508	0.0017134838129606558	5.0
10.0	0.017297053632030341	0.01425012083685278	0.0035213293044507772	5.3471851999617535	0.99999510607391928	0.0036422022671015533	0.014763034115914113	-0.0036974521011738926	0.0047604166081382186	5.0
11.0	-0.014672713344633881	-0.0060935337072855963	-0.01019824874037761	5.4357253841886326	0.99999510607391928	-0.005491756609126916	0.0097715503996283776	-0.0098997372114709783	-0.0038187630292100664	4.0
12.0	-0.0098030814239811366	-0.017690723030949308	-0.0036097437313981177	5.5401186704789591	0.99831453862132957	-0.015911334083390554	-0.0093595266034826458	-0.023871907189872754	0.0040688785777581041	4.0
13.0	-0.0013675910033420779	0.0017965985828202226	-0.015263520260785542	5.5846151723176209	0.99557930605502465	-0.011927343952368163	-0.033353627080872097	-0.014183128452856015	0.00090468899159580195	4.0
14.0	-0.0067769320599305113	-0.0076336517586646901	0.0007770993562656002	5.7013027797985076	0.99557930605502465	-0.035333442775926101	-0.026168376166589562	-0.038792418317925334	0.001761408690329981	3.0
15.0	-0.019457246019138286	-0.013198304530719423	0.0036983506647784714	5.8209798477258241	0.99999510607391928	-0.0413414694878637	-0.0052925879067551177	-0.04476605231289308	-0.00449753279808888	3.0
16.0	0.0035901445541782809	-0.0014421246158159142	-0.018712122547233902	5.8992101246323996	0.99831453862132957	-0.033040976143216758	-0.034761149910656111	-0.039950633717188461	0.00053473637190531477	3.0
17.0	0.0028160966872975168	-0.0025234770435203012	0.016671515765148817	6.0476578205705342	1.0044324750173943	-0.032535095267282231	-0.023115340189151505	-0.040155526213156448	0.0058743101027231327	2.0
18.0	-0.021539645466425596	-0.011392549477132492	-0.021386265745590161	6.1622924678585429	1.0016785742323322	-0.058177765581267499	-0.048022935239192446	-0.046173745278168386	-0.0042727858865699696	2.0
19.0	-0.0016273895672410804	0.0019256916044954418	0.012435672656091943	6.284728103116568	0.99557930605502465	-0.050158540269486462	-0.02538901384272289	-0.048090780042000993	-0.0078258670583064936	3.0
20.0	0.011606661358923576	0.010679315171391521	-0.0071478154722603646	6.3971074978804534	0.99557930605502465	-0.021788502067145634	-0.028927085583585137	-0.01222861577322483	-0.0068985208707744387	2.0
21.0	-0.0041951841783187446	-0.012146544183778279	-0.026624688548257197	6.4417576505307226	0.99557930605502465	-0.035731644833744136	-0.040288253871056792	-0.030673708384406667	0.0010528391346850984	2.0
22.0	0.011625998307595864	0.0032415262347270778	0.026725377741918441	6.5462249834803945	1.0016785742323322	-0.024856466840352368	-0.014339975485403951	-0.0230796654399269	0.0094373112075538841	2.0
23.0	0.00058423487238547667	0.0055751019198555535	-0.0029052841270708774	6.5942988954318222	1.0044324750173943	-0.0060830603897773922	-0.020943610277253298	0.0014113700737049288	0.0044464441600838072	3.0
24.0	0.018442789201263323	0.01627067043329767	0.013027720784147705	6.6608587187789388	0.99831453862132957	0.011629734659336191	0.010796233054128308	0.0078573595935285245	0.0066185629280494616	4.0
25.0	0.015054522981304285	0.021280752650204598	-0.013748816847721336	6.5911283521992026	0.99999510607391928	0.035433964353061093	-0.019624099558741843	0.044156883550654266	0.00039233325914914596	5.0
26.0	0.013993855822782168	0.0088543200673015729	0.00644585886713059	6.56274803290375	1.0044324750173943	0.055680833897495154	0.0082080250539789037	0.055980625188231443	0.0055318690146297436	5.0
27.0	-0.015973346928578401	-0.0093681501396463314	-0.010133527246764947	6.5912618193109651	1.0044324750173943	0.044386992153353386	-0.014361174848877986	0.040858488032025117	-0.0010733277743023273	4.0
28.0	-0.0074820776203139393	-0.010981853191940758	-0.0072061770457159495	6.5236858945682696	1.0016785742323322	0.022725823790021103	-0.014419536422333571	0.020825359190997234	0.0024264477973244929	5.0
29.0	0.0055014748752009561	0.0089856962814782761	0.0036775463619653052	6.5474505319410286	0.99831453862132957	0.043858064255277662	0.015882698487888931	0.057990108276202892	-0.0010577736089528262	4.0
30.0	-0.020422781556174933	-0.019306940437381216	-0.0011014655531540046	6.5706035338547792	0.99831453862132957	0.021309597583169367	-0.011944144807183515	0.022760393787868063	-0.0021736147277465474	4.0
31.0	-0.0064126767791076265	-0.0091114179816630964	-0.022848689092100999	6.618847054157535	1.0016785742323322	0.0066230776816507166	-0.031887549772213634	0.0033001152006218721	0.00052512647480892211	3.0
32.0	-0.010476105136574324	-0.0080668856110982148	0.030645881052745749	6.6580152424338124	1.0044324750173943	-0.017714478362745166	-0.014269389503615592	-0.013559833274516556	-0.0018840930506671865	4.0
33.0	0.026315301877209429	0.019253583325427447	-0.030223052868673373	6.5622170604825927	0.99999510607391928	-0.019741647687522321	-0.030743625524567629	-0.024275147380880907	0.0051776255011147954	5.0
34.0	0.014438470032730084	0.018844428357515226	0.03261119645567731	6.5246141873244419	1.0016785742323322	-0.0097515393973086686	-0.0045782879360209052	-0.025491912965181787	0.000771667176329653	5.0
35.0	-0.0014867417040240298	-0.0022987046927175486	0.002746179753218822	6.5438567306841557	0.99831453862132957	-0.0026820939503798859	0.0083014190639628636	-0.0019166372109939503	0.0015836301650231745	5.0
36.0	-0.0053114325313735264	-0.0023917918483950147	-0.017309367717740838	6.5254957910862865	0.99831453862132957	0.0059079673931658576	-0.001801771608062025	0.0070705803512082638	-0.001336010517955338	5.0
37.0	-0.00051109509809005652	-0.0068189639824162464	-0.0042693935657744826	6.5136752835191238	1.0016785742323322	-0.0098966928707286649	-0.0097487115358018128	-0.020366548732120862	0.0049718583663708538	5.0
38.0	-0.014791338160220437	-0.006923077861683908	0.0055315049437807233	6.5694584861355949	1.0016785742323322	0.0024871697049686416	-0.0031157410388670849	-0.001839547399087843	-0.0028964019321656756	4.0
39.0	-0.0092722567248625862	-0.014781193653937846	-0.0036824220040277758	6.6067352865976634	1.0016785742323322	-0.0031826059673061074	0.016050526049206138	0.0018094063488132525	0.0026125349969095828	4.0
40.0	-0.013610924351221279	-0.0096099899448682802	-0.013576629835537053	6.6941461093835057	0.99999510607391928	-0.004725710301076172	-0.028171984839076663	-0.0030836872795614277	-0.001388399409443416	3.0
41.0	-0.019942612296007366	-0.017613675681315923	0.0013114296990226759	6.8053266025534294	0.99557930605502465	-0.041592969307819541	0.0033624977286193861	-0.035642240902059669	-0.0037173360241348624	3.0
42.0	0.0013656697817180652	-0.0004153598026125048	-0.01495784346447547	6.8353658227755227	1.0016785742323322	-0.060852757467947272	-0.044206542191533402	-0.052202580042638461	-0.0019363064398042916	3.0
43.0	0.0012795292676272413	0.0025269884528970957	0.0027300015581936884	6.8661989847918061	0.99557930605502465	-0.056027064322332627	-0.044222720386558528	-0.055418191971833439	-0.0031837656250741425	3.0
44.0	-0.0088915708901665877	-0.011233692361974919	-0.016506592790147795	6.9697175406571885	0.99557930605502465	-0.064868964835912535	-0.043419945458965492	-0.071287460569707722	-0.00084164415326580977	2.0
