time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.00018484946875838015	0.0013284119518223725	0.0080481669998735336	5.1241227905211639	0.99557930605502465	0.012893554573772462	0.046721440374861874	0.0094586842701890883	0.0017562726799426184	7.0
1.0	-0.0072666061832014073	-0.0017158079967693335	-0.020345754152349987	5.1263566946849197	0.99831453862132957	0.01036374048713222	0.019365737957147168	0.0098460701895790176	-0.003794525506489448	6.0
2.0	0.0015402893532482503	-0.0022336507213898266	0.0082291855099093161	5.1174454660286202	0.99999510607391928	0.0058246549382718477	0.013739718017146515	0.0060803563450098075	-2.0585431851378822e-05	6.0
3.0	0.0014013852427266077	-0.00014480828759738662	0.0074045616145486659	5.1107532849445896	0.99831453862132957	0.0045192811470683159	0.024942911515310914	0.0041633567762232038	0.0015256080984726111	6.0
4.0	-0.0055660511895774534	-0.0022723684757767065	-0.0072298075224225752	5.1543180137397373	0.99831453862132957	0.0025918884580994062	0.013146121960008333	0.0035095756222957714	-0.0017680746153281299	5.0
5.0	0.00095581515208521817	-0.0014641879566695687	0.012593262016400389	5.1509620150831337	1.0016785742323322	-0.0014464524923115812	0.011247955514608526	-0.0019079504258193158	0.0006519284934266515	6.0
6.0	0.0018204451750468698	0.0022058471564624788	0.005270582902722136	5.1937596929102412	0.99557930605502465	-0.0020054069050370882	0.024536743326955358	0.0021712797657672395	0.00026652651201105205	6.0
7.0	-9.6375097189821401e-06	0.00024635196265149206	-0.01618945312155786	5.2410621671635926	0.99557930605502465	-0.0040502123672664786	-0.0022192557528763826	-0.0044405016429270444	1.0537039640571332e-05	5.0
8.0	-0.0041430793917080905	-0.0037038346858949966	0.00070382739057858051	5.2794886785717319	1.0016785742323322	-0.0090824590049838477	-0.0095635953621713357	-0.001732445764048976	-0.00042870766617251506	4.0
9.0	-0.0014392504068574119	-0.002931196465791	0.013711139459546669	5.3047846479261098	1.0044324750173943	-0.010297847474005514	0.02449329824972532	-0.0077426427638277867	0.0010632383927610695	5.0
10.0	0.0021918824700470629	0.00030122210693689366	-2.0072122411091131e-05	5.3688802876900432	0.99999510607391928	-0.007762974645678794	0.016244040617404913	-0.012317323076005131	0.0029538987558712353	5.0
11.0	-0.0074292268793773458	-0.0021057373314593703	-0.017959967013811438	5.4410661939316771	0.99999510607391928	-0.0097239036895407777	-0.0091204880109551911	-0.012459111443187579	-0.0023695907920467376	4.0
12.0	0.001241922697676992	-0.0036524587498941996	0.0024346479839718743	5.5084937196299419	0.99831453862132957	-0.011103993963658271	0.00054396749543925843	-0.016043630329740169	0.0025247906555244527	4.0
13.0	-0.0070580848830122805	-0.0050946651970279061	-0.0078889489117059675	5.5513054564414235	0.99557930605502465	-0.014734471204016608	-0.019938243432667098	-0.016134214037052119	0.00056137096954007816	4.0
14.0	-0.0064118799621040237	-0.0069434853782969971	-0.010652817469838278	5.6352104338213316	0.99557930605502465	-0.023883803738776084	-0.035861643805227508	-0.026030141841334842	0.0010929763857330538	3.0
15.0	-0.01261363940565375	-0.0087298869953910604	-0.0054302177679150729	5.687723760306362	0.99999510607391928	-0.032860042696818637	-0.025102408451584724	-0.034985039683203947	-0.0027907760245296336	3.0
16.0	-0.0030062405969628683	-0.006128827308185314	0.00047792683799973215	5.7583160070424197	0.99831453862132957	-0.035285035319108954	-0.025328309004163573	-0.039572565296287512	0.00033181068669281165	3.0
